DetID,ElLoc,ADC_PEDESTAL,LED_MEDIAN
1275068587,0:2:19,158.80125,0.0
1275068588,0:2:20,124.7125,0.0
1275068589,0:2:21,142.2225,0.0
1275068590,0:2:22,123.84,0.0
1275068591,0:2:23,168.10625,0.0
1275068592,0:2:24,100.615,0.0
1275068593,0:2:25,164.905,0.0
1275068594,0:2:26,145.25875,0.0
1275068595,0:2:27,161.94625,0.0
1275068596,0:2:28,138.62375,0.0
1275068597,0:2:29,140.41625,0.0
1275068598,0:2:30,124.18125,0.0
1275068599,0:2:31,142.71,0.0
1275068600,0:2:32,140.2475,0.0
1275068601,0:2:33,149.4725,0.0
1275068602,0:2:34,144.985,0.0
1275068603,0:2:35,120.0925,0.0
1275068606,0:2:0,182.94125,0.0
1275068607,0:2:1,204.81125,0.0
1275068608,0:2:2,183.6725,0.0
1275068609,0:2:3,199.55625,0.0
1275068610,0:2:4,161.42875,0.0
1275068611,0:2:5,185.80375,0.0
1275068612,0:2:6,174.91125,0.0
1275068613,0:2:7,189.80875,0.0
1275068614,0:2:8,188.44375,0.0
1275068615,0:2:9,197.86875,0.0
1275068616,0:2:10,179.5575,0.0
1275068617,0:2:11,183.35875,0.0
1275068618,0:2:12,158.59875,0.0
1275068619,0:2:13,197.85375,0.0
1275068620,0:2:14,154.21,0.0
1275068621,0:2:15,183.34,0.0
1275068622,0:2:16,180.81875,0.0
1275068623,0:2:17,173.31625,0.0
1275068624,0:2:18,185.1975,0.0
1275068625,0:2:19,182.55,0.0
1275068626,0:2:20,181.77125,0.0
1275068627,0:2:21,205.92375,0.0
1275068628,0:2:22,155.06875,0.0
1275068629,0:2:23,191.135,0.0
1275068630,0:2:24,196.99375,0.0
1275068631,0:2:25,190.3975,0.0
1275068632,0:2:26,198.395,0.0
1275068633,0:2:27,176.04625,0.0
1275068634,0:2:28,187.63625,0.0
1275068635,0:2:29,183.90625,0.0
1275068636,0:2:30,181.3775,0.0
1275068637,0:2:31,166.53625,0.0
1275068638,0:2:32,192.185,0.0
1275068639,0:2:33,178.56375,0.0
1275068640,0:2:34,192.19375,0.0
1275068641,0:2:35,207.49875,0.0
