DetID,ElLoc,ADC_PEDESTAL
1275068525,0:1:33,137.33
1275068526,0:1:34,149.68375
1275068527,0:1:35,141.8275
1275068530,0:1:0,224.41625
1275068531,0:1:1,190.785
1275068532,0:1:2,191.9925
1275068533,0:1:3,191.38875
1275068534,0:1:4,220.98375
1275068535,0:1:5,184.33
1275068536,0:1:6,207.095
1275068537,0:1:7,160.87625
1275068538,0:1:8,183.43
1275068539,0:1:9,196.63
1275068540,0:1:10,199.54
1275068541,0:1:11,181.79
1275068542,0:1:12,198.03875
1275068543,0:1:13,170.2325
1275068544,0:1:14,172.50125
1275068545,0:1:15,198.87875
1275068546,0:1:16,213.95625
1275068547,0:1:17,200.6175
1275068548,0:1:18,209.495
1275068549,0:1:19,171.005
1275068550,0:1:20,199.4075
1275068551,0:1:21,202.99625
1275068552,0:1:22,210.4225
1275068553,0:1:23,202.68875
1275068554,0:1:24,212.8275
1275068555,0:1:25,196.8525
1275068556,0:1:26,186.4525
1275068557,0:1:27,185.33
1275068558,0:1:28,176.75875
1275068559,0:1:29,213.72625
1275068560,0:1:30,177.9075
1275068561,0:1:31,193.73625
1275068562,0:1:32,210.0875
1275068563,0:1:33,201.1375
1275068564,0:1:34,212.43125
1275068565,0:1:35,208.7325
1275068568,0:2:0,152.4225
1275068569,0:2:1,154.22125
1275068570,0:2:2,126.1475
1275068571,0:2:3,138.7975
1275068572,0:2:4,158.96125
1275068573,0:2:5,129.44875
1275068574,0:2:6,117.75625
1275068575,0:2:7,132.3875
1275068576,0:2:8,140.28375
1275068577,0:2:9,154.41125
1275068578,0:2:10,170.67
1275068579,0:2:11,131.96875
1275068580,0:2:12,149.70875
1275068581,0:2:13,144.54875
1275068582,0:2:14,141.1575
1275068583,0:2:15,138.52125
1275068584,0:2:16,166.605
1275068585,0:2:17,141.06625
1275068586,0:2:18,149.1175
1275068587,0:2:19,158.80125
1275068588,0:2:20,124.7125
1275068589,0:2:21,142.2225
1275068590,0:2:22,123.84
1275068591,0:2:23,168.10625
1275068592,0:2:24,100.615
1275068593,0:2:25,164.905
1275068594,0:2:26,145.25875
1275068595,0:2:27,161.94625
1275068596,0:2:28,138.62375
1275068597,0:2:29,140.41625
1275068598,0:2:30,124.18125
1275068599,0:2:31,142.71
1275068600,0:2:32,140.2475
1275068601,0:2:33,149.4725
1275068602,0:2:34,144.985
1275068603,0:2:35,120.0925
1275068606,0:2:0,182.94125
1275068607,0:2:1,204.81125
1275068608,0:2:2,183.6725
1275068609,0:2:3,199.55625
1275068610,0:2:4,161.42875
1275068611,0:2:5,185.80375
1275068612,0:2:6,174.91125
1275068613,0:2:7,189.80875
1275068614,0:2:8,188.44375
1275068615,0:2:9,197.86875
1275068616,0:2:10,179.5575
1275068617,0:2:11,183.35875
1275068618,0:2:12,158.59875
1275068619,0:2:13,197.85375
1275068620,0:2:14,154.21
1275068621,0:2:15,183.34
1275068622,0:2:16,180.81875
1275068623,0:2:17,173.31625
1275068624,0:2:18,185.1975
1275068625,0:2:19,182.55
1275068626,0:2:20,181.77125
1275068627,0:2:21,205.92375
1275068628,0:2:22,155.06875
1275068629,0:2:23,191.135
1275068630,0:2:24,196.99375
1275068631,0:2:25,190.3975
1275068632,0:2:26,198.395
1275068633,0:2:27,176.04625
1275068634,0:2:28,187.63625
1275068635,0:2:29,183.90625
1275068636,0:2:30,181.3775
1275068637,0:2:31,166.53625
1275068638,0:2:32,192.185
1275068639,0:2:33,178.56375
1275068640,0:2:34,192.19375
1275068641,0:2:35,207.49875
