,HGCROC,Channel,CMB,Quadbar,Bar,Plane,AllBar,Elink,End
165,2,41,10,3,2,10,10,5,1
166,2,42,10,3,3,10,11,5,1
167,2,43,10,3,4,10,12,5,1
168,2,45,11,1,1,11,1,5,0
169,2,46,11,1,2,11,2,5,0
170,2,47,11,1,3,11,3,5,0
171,2,48,11,1,4,11,4,5,0
172,2,49,12,1,1,11,1,5,1
173,2,50,12,1,2,11,2,5,1
174,2,51,12,1,3,11,3,5,1
175,2,52,12,1,4,11,4,5,1
176,2,54,13,2,1,11,5,5,0
177,2,55,13,2,2,11,6,5,0
178,2,56,13,2,3,11,7,5,0
179,2,57,13,2,4,11,8,5,0
180,2,58,14,2,1,11,5,5,1
181,2,59,14,2,2,11,6,5,1
182,2,60,14,2,3,11,7,5,1
183,2,61,14,2,4,11,8,5,1
184,2,63,15,3,1,11,9,5,0
185,2,64,15,3,2,11,10,5,0
186,2,65,15,3,3,11,11,5,0
187,2,66,15,3,4,11,12,5,0
188,2,67,16,3,1,11,9,5,1
189,2,68,16,3,2,11,10,5,1
190,2,69,16,3,3,11,11,5,1
191,2,70,16,3,4,11,12,5,1
192,0,0,1,1,1,12,1,0,0
193,0,1,1,1,2,12,2,0,0
194,0,2,1,1,3,12,3,0,0
195,0,3,1,1,4,12,4,0,0
196,0,4,2,1,1,12,1,0,1
197,0,5,2,1,2,12,2,0,1
198,0,6,2,1,3,12,3,0,1
199,0,7,2,1,4,12,4,0,1
200,0,9,3,2,1,12,5,0,0
201,0,10,3,2,2,12,6,0,0
202,0,11,3,2,3,12,7,0,0
203,0,12,3,2,4,12,8,0,0
204,0,13,4,2,1,12,5,0,1
205,0,14,4,2,2,12,6,0,1
206,0,15,4,2,3,12,7,0,1
207,0,16,4,2,4,12,8,0,1
208,0,18,5,3,1,12,9,0,0
209,0,19,5,3,2,12,10,0,0
210,0,20,5,3,3,12,11,0,0
211,0,21,5,3,4,12,12,0,0
212,0,22,6,3,1,12,9,0,1
213,0,23,6,3,2,12,10,0,1
214,0,24,6,3,3,12,11,0,1
215,0,25,6,3,4,12,12,0,1
216,0,27,7,1,1,13,1,0,0
217,0,28,7,1,2,13,2,0,0
218,0,29,7,1,3,13,3,0,0
219,0,30,7,1,4,13,4,0,0
220,0,31,8,1,1,13,1,0,1
221,0,32,8,1,2,13,2,0,1
222,0,33,8,1,3,13,3,0,1
223,0,34,8,1,4,13,4,0,1
224,0,36,9,2,1,13,5,1,0
225,0,37,9,2,2,13,6,1,0
226,0,38,9,2,3,13,7,1,0
227,0,39,9,2,4,13,8,1,0
228,0,40,10,2,1,13,5,1,1
229,0,41,10,2,2,13,6,1,1
230,0,42,10,2,3,13,7,1,1
231,0,43,10,2,4,13,8,1,1
232,0,45,11,3,1,13,9,1,0
233,0,46,11,3,2,13,10,1,0
234,0,47,11,3,3,13,11,1,0
235,0,48,11,3,4,13,12,1,0
236,0,49,12,3,1,13,9,1,1
237,0,50,12,3,2,13,10,1,1
238,0,51,12,3,3,13,11,1,1
239,0,52,12,3,4,13,12,1,1
240,0,54,13,1,1,14,1,1,0
241,0,55,13,1,2,14,2,1,0
242,0,56,13,1,3,14,3,1,0
243,0,57,13,1,4,14,4,1,0
244,0,58,14,1,1,14,1,1,1
245,0,59,14,1,2,14,2,1,1
246,0,60,14,1,3,14,3,1,1
247,0,61,14,1,4,14,4,1,1
248,0,63,15,2,1,14,5,1,0
249,0,64,15,2,2,14,6,1,0
250,0,65,15,2,3,14,7,1,0
251,0,66,15,2,4,14,8,1,0
252,0,67,16,2,1,14,5,1,1
253,0,68,16,2,2,14,6,1,1
254,0,69,16,2,3,14,7,1,1
255,0,70,16,2,4,14,8,1,1
256,1,0,1,3,1,14,9,2,0
257,1,1,1,3,2,14,10,2,0
258,1,2,1,3,3,14,11,2,0
259,1,3,1,3,4,14,12,2,0
260,1,4,2,3,1,14,9,2,1
261,1,5,2,3,2,14,10,2,1
262,1,6,2,3,3,14,11,2,1
263,1,7,2,3,4,14,12,2,1
264,1,9,3,1,1,15,1,2,0
265,1,10,3,1,2,15,2,2,0
